decision,Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_10-59-24.jpg,CAMERA_1_2025-06-24_10-59-24.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-01-01.jpg,CAMERA_1_2025-06-24_11-01-01.jpg,10,"[2, 5, 6, 7, 12, 13, 14, 15, 17, 18]",15,"['15 0.313867 0.672741 0.020855 0.021469', '5 0.576511 0.929641 0.021343 0.021217', '7 0.609227 0.568396 0.019876 0.019986', '17 0.457195 0.638183 0.020684 0.020663', '6 0.472298 0.5613 0.020915 0.021129', '18 0.526478 0.660783 0.020273 0.019869', '14 0.408208 0.562549 0.02111 0.020969', '2 0.341709 0.448047 0.020721 0.030297', '13 0.546049 0.931583 0.021242 0.021474', '12 0.534843 0.931551 0.021221 0.021689']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-02-40.jpg,CAMERA_1_2025-06-24_11-02-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-04-37.jpg,CAMERA_1_2025-06-24_11-04-37.jpg,10,"[0, 1, 6, 7, 10, 11, 15, 16, 17, 18]",0,"['0 0.33691 0.458724 0.019769 0.018609', '15 0.324609 0.635599 0.020605 0.02045', '1 0.569755 0.719338 0.051476 0.114523', '10 0.453046 0.689955 0.019501 0.019752', '18 0.460551 0.653396 0.01985 0.019865', '11 0.440543 0.838501 0.020233 0.019998', '16 0.339349 0.713837 0.020737 0.020572', '17 0.391163 0.660601 0.020308 0.020536', '6 0.328368 0.571312 0.020501 0.019962', '7 0.461741 0.571444 0.020027 0.02029']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-06-05.jpg,CAMERA_1_2025-06-24_11-06-05.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-07-45.jpg,CAMERA_1_2025-06-24_11-07-45.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-09-21.jpg,CAMERA_1_2025-06-24_11-09-21.jpg,4,"[3, 7, 14, 16]",7,"['7 0.611763 0.579034 0.020201 0.020238', '14 0.4091 0.57046 0.021489 0.021241', '3 0.368204 0.717297 0.055316 0.116689', '16 0.40788 0.651664 0.024482 0.024386']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-11-24.jpg,CAMERA_1_2025-06-24_11-11-24.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-12-48.jpg,CAMERA_1_2025-06-24_11-12-48.jpg,11,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18]",5,"['5 0.577119 0.929557 0.021592 0.021574', '11 0.443462 0.828046 0.020503 0.020664', '7 0.609197 0.569141 0.020274 0.020282', '17 0.457822 0.638646 0.020248 0.020247', '8 0.499253 0.73872 0.019829 0.02047', '9 0.49987 0.77607 0.020754 0.02107', '13 0.546145 0.930651 0.020787 0.020625', '12 0.535007 0.930643 0.020287 0.020597', '18 0.52699 0.661355 0.020732 0.020438', '6 0.472624 0.561732 0.020322 0.020401', '10 0.45724 0.677217 0.019896 0.019732']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-14-38.jpg,CAMERA_1_2025-06-24_11-14-38.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-16-20.jpg,CAMERA_1_2025-06-24_11-16-20.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-18-04.jpg,CAMERA_1_2025-06-24_11-18-04.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-18-22.jpg,CAMERA_1_2025-06-24_11-18-22.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",17,"['17 0.455141 0.639205 0.020242 0.020235', '19 0.54633 0.753933 0.019447 0.019952', '7 0.606524 0.569393 0.020365 0.020282', '4 0.553686 0.786552 0.02032 0.020768', '11 0.441915 0.829218 0.020038 0.02021', '14 0.406096 0.564594 0.020167 0.019813', '9 0.497666 0.776879 0.01931 0.019441', '8 0.496407 0.739343 0.019563 0.019925', '18 0.523822 0.661593 0.01999 0.019704', '6 0.469713 0.563132 0.020242 0.02', '10 0.454902 0.679564 0.020114 0.020241', '5 0.575086 0.92769 0.020876 0.020477', '13 0.544439 0.92938 0.020938 0.021048', '3 0.366008 0.706686 0.053117 0.112256', '12 0.533087 0.92979 0.020874 0.021196', '16 0.404023 0.642594 0.020304 0.020184', '2 0.340448 0.450493 0.019812 0.028262']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-19-40.jpg,CAMERA_1_2025-06-24_11-19-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-21-27.jpg,CAMERA_1_2025-06-24_11-21-27.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",11,"['11 0.444709 0.840549 0.02031 0.020711', '5 0.579427 0.942377 0.020896 0.020759', '1 0.575962 0.724082 0.053039 0.119925', '8 0.499702 0.751496 0.020307 0.020973', '10 0.458064 0.690626 0.020363 0.020215', '9 0.500899 0.789833 0.019627 0.020907', '15 0.328765 0.636249 0.02076 0.02097', '2 0.344499 0.473277 0.020377 0.047326', '18 0.465814 0.653137 0.01941 0.019657', '7 0.466957 0.572021 0.020218 0.0205', '13 0.54927 0.942869 0.021463 0.021917', '17 0.396106 0.660373 0.021332 0.021638', '12 0.537204 0.94349 0.022143 0.022137', '16 0.344042 0.712809 0.020203 0.020186', '6 0.33215 0.571518 0.020017 0.020476']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-22-59.jpg,CAMERA_1_2025-06-24_11-22-59.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-24-40.jpg,CAMERA_1_2025-06-24_11-24-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-26-16.jpg,CAMERA_1_2025-06-24_11-26-16.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,"['4 0.554091 0.788538 0.020254 0.020257', '16 0.4062 0.645103 0.019329 0.019357', '14 0.408344 0.567128 0.020604 0.020557', '19 0.546384 0.755229 0.018907 0.019442', '15 0.314328 0.676305 0.019369 0.019595', '18 0.52479 0.665064 0.019895 0.020008', '11 0.442216 0.830168 0.019975 0.020335', '5 0.574611 0.930511 0.020371 0.020192', '9 0.498149 0.778645 0.019075 0.019196', '7 0.606945 0.573448 0.020475 0.02045', '8 0.49746 0.741888 0.019164 0.019531', '6 0.47171 0.566238 0.019951 0.0198', '17 0.456739 0.641321 0.02025 0.020159', '3 0.367353 0.7085 0.054724 0.114036', '10 0.456181 0.680824 0.018811 0.019116', '13 0.544368 0.932199 0.020399 0.020823', '12 0.533226 0.932123 0.020654 0.021271', '2 0.342387 0.45393 0.020106 0.031138']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-27-57.jpg,CAMERA_1_2025-06-24_11-27-57.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-29-43.jpg,CAMERA_1_2025-06-24_11-29-43.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",9,"['9 0.495622 0.776835 0.019324 0.019671', '1 0.56949 0.711003 0.058413 0.124922', '17 0.391931 0.651593 0.020336 0.021147', '8 0.494927 0.739666 0.019877 0.020273', '16 0.340365 0.703085 0.019488 0.01998', '11 0.44013 0.82818 0.020186 0.02037', '7 0.461882 0.562555 0.019966 0.020273', '15 0.325512 0.626701 0.020191 0.020206', '5 0.574351 0.927354 0.020705 0.020707', '6 0.329569 0.564335 0.020132 0.020251', '10 0.452526 0.68072 0.019822 0.020401', '13 0.543384 0.928822 0.021244 0.02177', '12 0.531718 0.928821 0.021553 0.0226', '18 0.460985 0.643477 0.019512 0.020219', '2 0.338924 0.458632 0.02068 0.048092']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-31-19.jpg,CAMERA_1_2025-06-24_11-31-19.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-33-01.jpg,CAMERA_1_2025-06-24_11-33-01.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-34-38.jpg,CAMERA_1_2025-06-24_11-34-38.jpg,3,"[3, 7, 14]",7,"['7 0.607583 0.573687 0.020614 0.020648', '14 0.407304 0.569259 0.022183 0.022211', '3 0.366569 0.713036 0.053595 0.112273']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-36-19.jpg,CAMERA_1_2025-06-24_11-36-19.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-38-00.jpg,CAMERA_1_2025-06-24_11-38-00.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-39-36.jpg,CAMERA_1_2025-06-24_11-39-36.jpg,16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",18,"['18 0.52564 0.674214 0.01996 0.019561', '16 0.405106 0.654712 0.020112 0.019913', '10 0.456527 0.691486 0.019407 0.019104', '14 0.406659 0.574871 0.019877 0.019997', '4 0.555862 0.800127 0.020389 0.020161', '5 0.576776 0.941928 0.020749 0.020243', '11 0.443044 0.842441 0.019833 0.020153', '8 0.497719 0.752214 0.01969 0.020159', '9 0.49927 0.789729 0.01932 0.019978', '6 0.47086 0.573947 0.018959 0.019207', '17 0.457068 0.651282 0.019458 0.019999', '13 0.5461 0.943034 0.020651 0.020979', '19 0.548493 0.766438 0.019837 0.019645', '7 0.60873 0.579249 0.020423 0.020693', '12 0.534966 0.943124 0.020658 0.020972', '3 0.369304 0.721228 0.051074 0.112469']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-41-23.jpg,CAMERA_1_2025-06-24_11-41-23.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-42-57.jpg,CAMERA_1_2025-06-24_11-42-57.jpg,16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",11,"['11 0.442798 0.816163 0.020006 0.02016', '16 0.40599 0.632207 0.020104 0.020208', '3 0.36523 0.702674 0.067697 0.133024', '18 0.524854 0.65263 0.020312 0.020206', '8 0.497443 0.727706 0.019277 0.02004', '14 0.408378 0.55683 0.019702 0.019961', '5 0.575851 0.916443 0.02023 0.01997', '19 0.546993 0.741383 0.020053 0.020317', '9 0.498357 0.764645 0.019621 0.020394', '17 0.457252 0.628884 0.02016 0.020366', '4 0.554011 0.774745 0.020558 0.020649', '6 0.471727 0.555533 0.020102 0.02075', '7 0.606748 0.562322 0.019526 0.01964', '10 0.456624 0.668017 0.018904 0.019022', '13 0.545368 0.918095 0.020461 0.021075', '12 0.534364 0.918417 0.020699 0.021047']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_11-44-55.jpg,CAMERA_1_2025-06-24_11-44-55.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-31-00.jpg,CAMERA_1_2025-06-24_12-31-00.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-32-16.jpg,CAMERA_1_2025-06-24_12-32-16.jpg,15,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19]",4,"['4 0.55679 0.78828 0.020042 0.020296', '18 0.527376 0.663403 0.02068 0.020831', '19 0.549082 0.754865 0.020187 0.020439', '17 0.458557 0.639537 0.02031 0.020394', '5 0.57742 0.931021 0.020658 0.020516', '14 0.408947 0.564486 0.020399 0.020018', '10 0.458013 0.680046 0.019669 0.019759', '6 0.472782 0.563807 0.020256 0.020338', '9 0.500429 0.777593 0.020061 0.020691', '8 0.499137 0.740968 0.019328 0.019389', '12 0.535473 0.932375 0.020501 0.021077', '13 0.546354 0.932226 0.020874 0.020861', '7 0.609577 0.571381 0.020229 0.020159', '11 0.443006 0.830084 0.023696 0.023751', '2 0.344883 0.44935 0.020958 0.029231']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-34-57.jpg,CAMERA_1_2025-06-24_12-34-57.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-36-40.jpg,CAMERA_1_2025-06-24_12-36-40.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",4,"['4 0.553571 0.799289 0.020476 0.020853', '17 0.454532 0.648758 0.020141 0.020602', '19 0.546085 0.764869 0.019905 0.01989', '14 0.404716 0.572073 0.020545 0.020413', '16 0.403006 0.651481 0.020121 0.020542', '11 0.440179 0.840112 0.01995 0.020317', '18 0.523866 0.672792 0.020537 0.020425', '5 0.574982 0.940541 0.0211 0.0208', '8 0.495669 0.750287 0.019635 0.020063', '13 0.543866 0.941472 0.020747 0.021225', '7 0.606853 0.577492 0.020012 0.020113', '10 0.454462 0.689256 0.019702 0.019726', '9 0.496828 0.787474 0.01932 0.020114', '12 0.532109 0.941451 0.020739 0.020948', '6 0.469179 0.570421 0.020355 0.020053', '3 0.368909 0.717628 0.043694 0.111601', '2 0.336649 0.464332 0.020446 0.027766']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-38-19.jpg,CAMERA_1_2025-06-24_12-38-19.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-40-02.jpg,CAMERA_1_2025-06-24_12-40-02.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-41-52.jpg,CAMERA_1_2025-06-24_12-41-52.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,"['4 0.558275 0.800856 0.020499 0.020372', '18 0.528318 0.674142 0.020792 0.020674', '11 0.444105 0.841938 0.020106 0.020199', '16 0.407324 0.652207 0.020756 0.021065', '8 0.499928 0.752103 0.019509 0.020017', '10 0.458836 0.690547 0.020135 0.01984', '14 0.408984 0.57277 0.020727 0.020772', '17 0.45904 0.649403 0.020768 0.020762', '7 0.611745 0.580065 0.019972 0.020119', '6 0.473929 0.572623 0.020377 0.02047', '3 0.366869 0.719323 0.05885 0.121495', '9 0.500895 0.788463 0.019876 0.020935', '19 0.550313 0.768333 0.019692 0.019716', '5 0.578475 0.943708 0.020693 0.020316', '13 0.547269 0.944222 0.021451 0.021347', '12 0.536144 0.944709 0.021301 0.021631', '15 0.313437 0.684756 0.020732 0.021021', '2 0.343999 0.466656 0.020309 0.030979']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-43-18.jpg,CAMERA_1_2025-06-24_12-43-18.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-45-01.jpg,CAMERA_1_2025-06-24_12-45-01.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",16,"['16 0.405432 0.644238 0.020141 0.020114', '11 0.442676 0.831099 0.020284 0.020258', '4 0.554878 0.791003 0.020355 0.020366', '9 0.498914 0.779851 0.019408 0.01978', '14 0.407242 0.565797 0.020705 0.020431', '5 0.576093 0.931763 0.020587 0.020528', '19 0.547653 0.756369 0.019581 0.020103', '3 0.366814 0.70937 0.055349 0.115066', '18 0.525513 0.664841 0.020601 0.020467', '8 0.497666 0.742953 0.019251 0.019547', '6 0.471083 0.564884 0.01998 0.019832', '17 0.457124 0.641373 0.020768 0.020554', '13 0.545101 0.933344 0.020744 0.020844', '12 0.533942 0.933495 0.020497 0.020738', '7 0.608386 0.572177 0.020723 0.020518', '10 0.456253 0.681731 0.018828 0.019178', '2 0.341575 0.454687 0.020527 0.031559', '15 0.313164 0.675963 0.020177 0.020403']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-46-37.jpg,CAMERA_1_2025-06-24_12-46-37.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-48-20.jpg,CAMERA_1_2025-06-24_12-48-20.jpg,8,"[3, 6, 7, 10, 11, 14, 16, 17]",16,"['16 0.404762 0.650863 0.020028 0.020259', '6 0.471024 0.569431 0.020251 0.020278', '11 0.442453 0.839621 0.020185 0.02064', '7 0.608542 0.577097 0.020522 0.02079', '14 0.406145 0.571268 0.020876 0.02074', '3 0.3663 0.717308 0.053711 0.113253', '10 0.456377 0.688196 0.019991 0.020149', '17 0.456739 0.646699 0.020849 0.021163']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-50-04.jpg,CAMERA_1_2025-06-24_12-50-04.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-51-42.jpg,CAMERA_1_2025-06-24_12-51-42.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",16,"['16 0.404896 0.631184 0.019887 0.019869', '9 0.49738 0.763677 0.019041 0.01954', '5 0.574727 0.914626 0.020273 0.020275', '8 0.496095 0.727102 0.019264 0.019286', '11 0.441802 0.815455 0.019819 0.019759', '19 0.545647 0.739733 0.019082 0.019305', '4 0.553578 0.772949 0.020349 0.020399', '14 0.40672 0.555583 0.019836 0.01994', '17 0.455861 0.629016 0.019165 0.019515', '10 0.455295 0.667015 0.018802 0.018918', '18 0.523326 0.650724 0.020209 0.020229', '7 0.605819 0.559612 0.019876 0.020096', '3 0.366151 0.695696 0.056697 0.116953', '13 0.544424 0.916148 0.019998 0.020345', '12 0.533241 0.916528 0.019868 0.020333', '6 0.469762 0.553754 0.019838 0.019905', '15 0.313525 0.663218 0.019261 0.019706', '2 0.342389 0.423556 0.020106 0.027496']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-53-26.jpg,CAMERA_1_2025-06-24_12-53-26.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-55-01.jpg,CAMERA_1_2025-06-24_12-55-01.jpg,14,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",11,"['11 0.44204 0.833784 0.020205 0.020326', '7 0.462733 0.568512 0.020035 0.020511', '1 0.571021 0.716989 0.05358 0.120732', '8 0.496014 0.745732 0.020843 0.020163', '9 0.496802 0.783547 0.01942 0.019502', '15 0.326788 0.632831 0.019803 0.019884', '16 0.341744 0.709282 0.01923 0.019728', '17 0.393219 0.656909 0.020254 0.021341', '12 0.533445 0.935498 0.020953 0.021915', '13 0.545035 0.934261 0.020554 0.021366', '18 0.462026 0.649033 0.019163 0.019824', '10 0.454022 0.685813 0.01969 0.020197', '6 0.330368 0.569196 0.01985 0.020301', '5 0.575619 0.934067 0.021203 0.020499']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-56-46.jpg,CAMERA_1_2025-06-24_12-56-46.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_12-58-21.jpg,CAMERA_1_2025-06-24_12-58-21.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-00-04.jpg,CAMERA_1_2025-06-24_13-00-04.jpg,12,"[0, 1, 5, 6, 7, 8, 9, 10, 15, 16, 17, 18]",0,"['0 0.339122 0.461974 0.01988 0.018054', '10 0.453934 0.69151 0.019483 0.019768', '15 0.325267 0.637101 0.021144 0.021149', '1 0.570605 0.721044 0.051782 0.115158', '16 0.340432 0.715457 0.020484 0.020486', '18 0.461924 0.653943 0.019323 0.019665', '17 0.39255 0.662372 0.020542 0.021062', '7 0.463205 0.572859 0.020582 0.020667', '6 0.329387 0.573779 0.020104 0.020073', '8 0.49654 0.750999 0.020834 0.020792', '9 0.49695 0.789737 0.022361 0.022468', '5 0.575905 0.940552 0.022279 0.02183']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-01-44.jpg,CAMERA_1_2025-06-24_13-01-44.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-03-26.jpg,CAMERA_1_2025-06-24_13-03-26.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",11,"['11 0.440561 0.816648 0.020128 0.020226', '16 0.341489 0.692281 0.019577 0.019781', '8 0.495185 0.728696 0.020733 0.020567', '1 0.568154 0.70052 0.063877 0.127058', '17 0.392795 0.641003 0.020259 0.020297', '5 0.573165 0.916148 0.020594 0.020736', '18 0.461318 0.634209 0.019884 0.019922', '10 0.453195 0.669909 0.019252 0.019241', '7 0.46237 0.555892 0.020269 0.021154', '15 0.327242 0.61826 0.020007 0.019781', '6 0.330567 0.556107 0.019837 0.020022', '12 0.531879 0.918709 0.020846 0.021771', '13 0.543046 0.917438 0.020127 0.021491', '9 0.496136 0.765977 0.019418 0.019363', '2 0.341159 0.436144 0.020059 0.038741']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-05-03.jpg,CAMERA_1_2025-06-24_13-05-03.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-06-46.jpg,CAMERA_1_2025-06-24_13-06-46.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-08-21.jpg,CAMERA_1_2025-06-24_13-08-21.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",16,"['16 0.405834 0.638534 0.020984 0.021137', '11 0.443597 0.827889 0.020341 0.020365', '7 0.608846 0.568209 0.0202 0.020431', '19 0.548728 0.752802 0.02048 0.020854', '4 0.556164 0.786207 0.020723 0.020764', '14 0.408297 0.56172 0.021155 0.020729', '18 0.526366 0.661289 0.020346 0.020033', '8 0.498462 0.738377 0.019412 0.020253', '17 0.457721 0.637983 0.020113 0.020106', '9 0.499416 0.776302 0.019512 0.019726', '3 0.367458 0.705484 0.057179 0.117713', '6 0.472058 0.56111 0.020502 0.020651', '5 0.576711 0.927761 0.021374 0.020928', '15 0.313825 0.673059 0.019701 0.020003', '13 0.545841 0.929695 0.020435 0.020358', '12 0.534908 0.929848 0.020062 0.020418', '10 0.456996 0.677234 0.019523 0.019266', '2 0.342824 0.457332 0.02019 0.049421']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-10-01.jpg,CAMERA_1_2025-06-24_13-10-01.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-11-44.jpg,CAMERA_1_2025-06-24_13-11-44.jpg,16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",6,"['6 0.470505 0.569503 0.020045 0.020042', '16 0.404294 0.650147 0.02004 0.020171', '19 0.548409 0.762201 0.020008 0.020323', '9 0.498566 0.786769 0.019695 0.01991', '10 0.455849 0.687469 0.019841 0.01957', '17 0.456534 0.647301 0.01998 0.020261', '4 0.556305 0.796642 0.021109 0.020778', '18 0.525587 0.670419 0.020993 0.020862', '5 0.577321 0.937729 0.020605 0.020248', '7 0.608359 0.575488 0.020439 0.020637', '12 0.534902 0.939828 0.020356 0.020762', '14 0.406267 0.570379 0.020724 0.020271', '13 0.54586 0.939713 0.020526 0.020844', '11 0.442613 0.838428 0.019721 0.020009', '3 0.365496 0.716646 0.055367 0.1156', '8 0.497332 0.748054 0.019902 0.019678']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-13-50.jpg,CAMERA_1_2025-06-24_13-13-50.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-15-32.jpg,CAMERA_1_2025-06-24_13-15-32.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_13-17-08.jpg,CAMERA_1_2025-06-24_13-17-08.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",11,"['11 0.444841 0.842753 0.020053 0.020072', '18 0.528611 0.67419 0.020177 0.020087', '10 0.458969 0.691232 0.019742 0.019489', '14 0.409044 0.573005 0.020316 0.020466', '16 0.407452 0.653579 0.020372 0.020309', '8 0.500284 0.753179 0.020011 0.020668', '6 0.473904 0.573125 0.020135 0.020547', '7 0.611364 0.581348 0.019769 0.019716', '9 0.501352 0.791146 0.019532 0.020337', '17 0.459176 0.650868 0.020177 0.020317', '3 0.367837 0.719632 0.058502 0.120725', '4 0.558436 0.801751 0.020784 0.020728', '5 0.579286 0.943811 0.020724 0.020486', '19 0.550487 0.767304 0.019942 0.019975', '12 0.5367 0.94606 0.021148 0.021004', '13 0.548064 0.945321 0.021139 0.021022', '2 0.344635 0.473706 0.020223 0.040091', '15 0.31415 0.686357 0.020331 0.020567']"
